lat,lng,date,time,confidence
14.051,-90.612,2018-03-12,1900,79
14.052,-90.597,2018-03-12,1900,71
14.048,-90.618,2018-03-12,1900,71
14.309,-89.711,2018-03-12,1900,72
14.306,-89.728,2018-03-12,1900,90
14.312,-89.716,2018-03-12,1900,89
14.309,-89.733,2018-03-12,1900,85
14.349,-89.723,2018-03-12,1900,79
14.235,-91.506,2018-03-12,1900,78
15.77,-88.958,2018-03-12,1900,76
15.768,-88.973,2018-03-12,1900,79
14.261,-90.916,2018-03-11,0725,89
15.349,-90.162,2018-03-11,1650,76
14.491,-89.882,2018-03-11,1650,73
14.615,-91.891,2018-03-11,1650,94
14.501,-91.407,2018-03-11,1650,79
14.486,-91.835,2018-03-11,1650,73
14.429,-91.595,2018-03-11,1650,91
14.335,-91.067,2018-03-11,1650,83
14.334,-91.056,2018-03-11,1650,77
14.423,-91.903,2018-03-11,1650,99
14.141,-91.009,2018-03-11,1650,91
13.957,-91.074,2018-03-11,1650,85
14.735,-90.204,2018-03-11,1955,77
14.795,-90.49,2018-03-11,1955,71
