SET
latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
9.562,-63.63,303.4,1.5,1.2,2017-05-17,0220,T,50,6.0NRT,285.4,11.3,N
9.638,-63.562,301.9,1.4,1.2,2017-05-17,0220,T,32,6.0NRT,286.4,6,N
9.644,-63.556,302.9,1.4,1.2,2017-05-17,0220,T,8,6.0NRT,286.7,6.7,N
9.642,-63.569,310.7,1.4,1.2,2017-05-17,0220,T,81,6.0NRT,286.8,15.9,N
9.617,-63.726,325.6,1.5,1.2,2017-05-17,0220,T,100,6.0NRT,283,44.6,N
9.655,-63.558,310.9,1.4,1.2,2017-05-17,0220,T,47,6.0NRT,288,16.4,N
9.653,-63.57,328.1,1.4,1.2,2017-05-17,0220,T,100,6.0NRT,286,44.7,N
9.644,-63.623,304.9,1.5,1.2,2017-05-17,0220,T,62,6.0NRT,285.3,11,N
9.642,-63.636,300,1.5,1.2,2017-05-17,0220,T,2,6.0NRT,283.3,6.6,N
9.628,-63.727,301.4,1.5,1.2,2017-05-17,0220,T,31,6.0NRT,283.6,10.5,N
9.655,-63.624,333.9,1.5,1.2,2017-05-17,0220,T,100,6.0NRT,286.8,58.7,N
9.653,-63.637,318.6,1.5,1.2,2017-05-17,0220,T,97,6.0NRT,284.4,28.5,N
9.774,-63.267,303.8,1.4,1.2,2017-05-17,0220,T,57,6.0NRT,289.6,6.4,N
16.717,-89.23,307,1.3,1.1,2017-05-17,0400,T,69,6.0NRT,293.4,8.6,N
16.717,-89.224,305.7,1.3,1.1,2017-05-17,0400,T,64,6.0NRT,293.5,7.4,N
17.03,-88.801,315,1.2,1.1,2017-05-17,0400,T,90,6.0NRT,292.8,16,N
17.04,-88.803,308.4,1.2,1.1,2017-05-17,0400,T,73,6.0NRT,293,9.5,N
17.038,-88.814,311.3,1.2,1.1,2017-05-17,0400,T,81,6.0NRT,293.2,12.3,N
17.158,-91.553,305.5,1.8,1.3,2017-05-17,0400,T,64,6.0NRT,293.4,12.2,N
17.155,-91.541,311.4,1.8,1.3,2017-05-17,0400,T,82,6.0NRT,293.7,20.5,N
17.404,-91.049,304.9,1.7,1.3,2017-05-17,0400,T,62,6.0NRT,294.6,6.9,N
18.178,-89.26,307.5,1.2,1.1,2017-05-17,0400,T,66,6.0NRT,294.9,8.2,N
18.353,-89.001,309.3,1.2,1.1,2017-05-17,0400,T,73,6.0NRT,294.7,9.7,N
17.848,-93.113,317.8,2.3,1.5,2017-05-17,0400,T,96,6.0NRT,293.5,47.8,N
17.844,-93.135,312.8,2.3,1.5,2017-05-17,0400,T,81,6.0NRT,291.1,33.8,N
17.889,-93.189,304.3,2.3,1.5,2017-05-17,0400,T,40,6.0NRT,294.1,15,N
19.355,-89.85,303.8,1.3,1.1,2017-05-17,0400,T,57,6.0NRT,293.1,4.2,N
19.353,-89.862,307.8,1.3,1.1,2017-05-17,0400,T,73,6.0NRT,294.2,7.7,N
19.389,-92.042,306.6,1.8,1.3,2017-05-17,0400,T,47,6.0NRT,294.4,10.1,N
19.4,-92.045,306,1.8,1.3,2017-05-17,0400,T,40,6.0NRT,294.5,9,N
19.429,-92.085,318.7,1.8,1.3,2017-05-17,0400,T,97,6.0NRT,295.3,32.4,N
21.142,-88.09,313.7,1,1,2017-05-17,0405,T,86,6.0NRT,294.5,11.2,N
21.254,-87.839,307.3,1,1,2017-05-17,0405,T,67,6.0NRT,295.4,6.2,N
21.963,-98.413,306.5,4.6,2,2017-05-17,0405,T,46,6.0NRT,293.3,47.3,N
29.575,-82.002,304.9,2.1,1.4,2017-05-17,0405,T,62,6.0NRT,293.5,17.5,N
29.745,-93.915,312.8,1.5,1.2,2017-05-17,0405,T,86,6.0NRT,293.3,22.1,N
30.941,-88.013,307.3,1,1,2017-05-17,0405,T,71,6.0NRT,295.1,7.9,N
31.71,-88.659,303.7,1,1,2017-05-17,0405,T,57,6.0NRT,292,5.8,N
33.115,-88.178,307.4,1.1,1,2017-05-17,0405,T,71,6.0NRT,292.6,8.2,N
19.535,-104.153,312.8,2.3,1.5,2017-05-17,0540,T,86,6.0NRT,291.2,40.9,N
19.533,-104.171,317.8,2.3,1.5,2017-05-17,0540,T,96,6.0NRT,292.4,55.2,N
19.532,-104.157,321.1,2.3,1.5,2017-05-17,0540,T,100,6.0NRT,292.3,68.6,N
19.53,-104.175,306,2.3,1.5,2017-05-17,0540,T,66,6.0NRT,291.8,26.4,N
19.598,-104.167,306.9,2.3,1.5,2017-05-17,0540,T,70,6.0NRT,290.8,28.3,N
19.595,-104.189,306.6,2.3,1.5,2017-05-17,0540,T,69,6.0NRT,290.2,27.8,N
19.663,-103.682,310.5,2.6,1.5,2017-05-17,0540,T,80,6.0NRT,290.1,44.8,N
19.594,-104.174,312.9,2.3,1.5,2017-05-17,0540,T,82,6.0NRT,290.8,39.9,N
