lat,lng,date,time,confidence
13.99,-90.416,2018-01-30,1605,92
13.995,-90.422,2018-01-30,1605,88
14.312,-90.746,2018-01-30,1600,71
13.984,-90.763,2018-01-30,1905,76
14.309,-90.741,2018-01-30,1905,85
14.162,-90.711,2018-01-31,0430,100
14.323,-90.738,2018-01-31,0430,74
14.334,-90.727,2018-01-31,0720,76
14.038,-91.183,2018-01-31,0720,83
14.036,-91.163,2018-01-31,0720,85
14.036,-91.168,2018-01-31,0720,96
14.322,-90.745,2018-01-31,1645,77
14.25,-91.428,2018-01-31,1645,96
14.249,-91.419,2018-01-31,1645,100
14.096,-91.2,2018-01-31,1645,82
13.952,-90.356,2018-01-31,1950,95
13.95,-90.374,2018-01-31,1950,91
13.957,-90.364,2018-01-31,1950,98
14.297,-90.006,2018-01-31,1950,73
14.429,-91.47,2018-01-31,1950,84
14.427,-91.484,2018-01-31,1950,80
14.532,-91.551,2018-01-31,1950,85
14.53,-91.565,2018-01-31,1950,89
14.532,-91.557,2018-01-31,1950,94
14.531,-91.572,2018-01-31,1950,73
